simNo4,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,102,44436,17,295,42245,2543,18,44,2119,42351,335,31,14
simNo4,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,300,42373,9,96,40265,2466,25,22,2052,40572,111,27,16
simNo4,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,173,40904,38,213,38751,2289,137,151,1868,38957,331,142,30
simNo5,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,4070,459002,80,1014,403731,52751,6963,721,47779,407997,1539,6847,4
simNo5,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,2626,449420,163,2372,390937,51991,10694,959,47105,393926,2968,10494,88
simNo5,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,174,44469,0,207,41394,3447,0,9,3062,41568,216,0,4
simNo5,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,116,44459,10,265,41356,3442,5,47,3041,41474,310,13,12
simNo5,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,264,44164,6,117,41087,3396,45,23,3014,41358,133,44,2
simNo5,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,163,42382,27,206,38997,3253,381,147,2866,39191,322,377,22
simNo6,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,3837,457138,78,1188,423023,29410,9030,778,24576,427141,1685,8827,12
simNo6,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,2525,441905,213,2342,409031,28346,8480,1128,23613,411940,3086,8309,37
simNo6,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,206,44437,3,204,41987,2857,0,6,2444,42193,210,3,0
simNo6,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,133,44437,3,277,41990,2840,17,3,2430,42133,270,10,7
simNo6,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,304,42036,12,134,38785,2688,916,97,2262,39113,207,904,0
simNo6,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,152,40874,29,273,37717,2633,924,54,2187,37898,298,924,21
simNo7,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,3948,457148,35,1110,425807,30147,5547,740,25300,430009,1596,5328,8
simNo7,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,2587,448524,161,2356,412106,29396,11290,836,24634,415129,2756,11015,94
simNo7,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,172,44447,1,230,41650,3200,0,0,2796,41822,230,1,1
simNo7,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,163,44431,17,239,41630,3180,20,20,2756,41795,257,35,7
simNo7,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,262,40651,10,118,37109,2926,908,98,2546,37388,199,901,7
simNo7,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,160,39240,24,197,35756,2795,937,133,2410,35939,307,938,27
simNo8,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,3983,478553,53,1047,439032,35229,8779,596,30284,443153,1505,8694,0
simNo8,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,2837,459193,116,2020,421320,33919,8119,808,29102,424389,2596,8003,76
simNo8,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,187,44455,0,208,42083,2767,0,0,2372,42270,208,0,0
simNo8,s100,m300,h1,minVAF0.005,ISAV0,n1000,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,150,44439,16,245,42070,2758,9,13,2337,42222,256,23,12
simNo8,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,264,42086,4,132,39221,2655,583,27,2267,39499,145,573,2
simNo8,s100,m300,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.2,na0.05,d0,l1000000,fastral_wrootx_wmuts,199,41200,26,191,38668,2541,363,44,2129,38889,213,367,18
simNo9,s100,m1000,h1,minVAF0.005,ISAV0,n300,fp0.001,fn0.05,na0.05,d0,l1000000,fastral_wrootx_wmuts,4046,471839,57,834,420897,47203,7689,987,42408,425107,1657,7582,22
