SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,1000,500,R5,astral_3_v5.7.7,heron01,3m39.897s,4m1.451s,0m3.678s
1X,1000,500,R6,astral_3_v5.7.7,heron11,3m48.884s,4m11.823s,0m3.342s
1X,1000,500,R7,astral_3_v5.7.7,heron02,3m46.768s,4m2.824s,0m3.654s
1X,1000,500,R8,astral_3_v5.7.7,heron03,3m49.105s,4m7.330s,0m4.153s
1X,1000,500,R9,astral_3_v5.7.7,heron10,3m52.495s,4m12.444s,0m3.834s
1X,1000,true,R10,astral_3_v5.7.7,heron02,2m1.361s,2m18.666s,0m2.912s
1X,1000,true,R11,astral_3_v5.7.7,heron05,1m55.199s,2m11.046s,0m2.818s
1X,1000,true,R12,astral_3_v5.7.7,heron07,1m57.247s,2m13.999s,0m2.791s
1X,1000,true,R13,astral_3_v5.7.7,heron11,1m59.083s,2m14.484s,0m2.564s
1X,1000,true,R14,astral_3_v5.7.7,heron01,1m55.292s,2m10.435s,0m2.616s
1X,1000,true,R15,astral_3_v5.7.7,heron06,1m59.740s,2m17.150s,0m2.788s
1X,1000,true,R16,astral_3_v5.7.7,heron02,1m57.179s,2m18.843s,0m3.667s
1X,1000,true,R17,astral_3_v5.7.7,heron03,1m58.794s,2m12.973s,0m2.596s
1X,1000,true,R18,astral_3_v5.7.7,heron08,1m56.653s,2m14.590s,0m3.036s
1X,1000,true,R19,astral_3_v5.7.7,heron10,1m56.408s,2m12.955s,0m3.132s
1X,1000,true,R1,astral_3_v5.7.7,heron05,1m56.243s,2m13.498s,0m2.919s
1X,1000,true,R20,astral_3_v5.7.7,heron09,1m57.398s,2m15.704s,0m3.512s
1X,1000,true,R2,astral_3_v5.7.7,heron09,1m58.882s,2m14.538s,0m2.803s
1X,1000,true,R3,astral_3_v5.7.7,heron07,1m56.059s,2m12.434s,0m2.754s
1X,1000,true,R4,astral_3_v5.7.7,heron10,1m58.556s,2m14.922s,0m2.736s
1X,1000,true,R5,astral_3_v5.7.7,heron00,3m12.127s,3m41.642s,0m3.696s
1X,1000,true,R6,astral_3_v5.7.7,heron08,1m53.839s,2m9.458s,0m2.648s
1X,1000,true,R7,astral_3_v5.7.7,heron04,1m59.983s,2m15.034s,0m2.651s
1X,1000,true,R8,astral_3_v5.7.7,heron00,3m48.674s,4m17.375s,0m3.931s
1X,1000,true,R9,astral_3_v5.7.7,heron01,1m57.033s,2m13.432s,0m2.533s
1X,100,500,R10,astral_3_v5.7.7,heron07,0m6.982s,0m18.917s,0m0.744s
1X,100,500,R11,astral_3_v5.7.7,heron08,0m7.154s,0m18.729s,0m0.881s
1X,100,500,R12,astral_3_v5.7.7,heron03,0m6.792s,0m19.229s,0m0.771s
1X,100,500,R13,astral_3_v5.7.7,heron04,0m6.658s,0m18.601s,0m0.776s
1X,100,500,R14,astral_3_v5.7.7,heron09,0m6.551s,0m18.368s,0m0.634s
1X,100,500,R15,astral_3_v5.7.7,heron05,0m7.090s,0m20.263s,0m0.850s
1X,100,500,R16,astral_3_v5.7.7,heron11,0m7.431s,0m20.398s,0m0.774s
1X,100,500,R17,astral_3_v5.7.7,heron01,0m7.179s,0m20.616s,0m0.890s
