SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
1X,1000,true,R4,astral_3_v5.7.7,136682586,0.7024493061979649
1X,1000,true,R5,astral_3_v5.7.7,137425920,0.7062695035460993
1X,1000,true,R6,astral_3_v5.7.7,135834289,0.698089675197862
1X,1000,true,R7,astral_3_v5.7.7,135901288,0.6984340014389968
1X,1000,true,R8,astral_3_v5.7.7,136606653,0.702059065679926
1X,1000,true,R9,astral_3_v5.7.7,135476587,0.6962513464898756
1X,100,500,R10,astral_3_v5.7.7,12285739,0.6313978312262308
1X,100,500,R11,astral_3_v5.7.7,12345709,0.6344798540446089
1X,100,500,R12,astral_3_v5.7.7,12433199,0.6389762051598314
1X,100,500,R13,astral_3_v5.7.7,12331540,0.6337516702641587
1X,100,500,R14,astral_3_v5.7.7,12439944,0.639322849213691
1X,100,500,R15,astral_3_v5.7.7,12461329,0.6404218830301162
1X,100,500,R16,astral_3_v5.7.7,12119162,0.6228369822181108
1X,100,500,R17,astral_3_v5.7.7,12194271,0.6266970397779833
1X,100,500,R18,astral_3_v5.7.7,12371918,0.6358268064549286
1X,100,500,R19,astral_3_v5.7.7,12377542,0.6361158392434988
1X,100,500,R1,astral_3_v5.7.7,12417137,0.6381507349162299
1X,100,500,R20,astral_3_v5.7.7,12646171,0.649921420495426
1X,100,500,R2,astral_3_v5.7.7,12261492,0.6301517113783534
1X,100,500,R3,astral_3_v5.7.7,12394228,0.6369733785589474
1X,100,500,R4,astral_3_v5.7.7,12309492,0.6326185630588961
1X,100,500,R5,astral_3_v5.7.7,12320391,0.6331786925686093
1X,100,500,R6,astral_3_v5.7.7,12338667,0.634117946345976
1X,100,500,R7,astral_3_v5.7.7,12275527,0.6308730085311954
1X,100,500,R8,astral_3_v5.7.7,12485744,0.6416766368588755
1X,100,500,R9,astral_3_v5.7.7,12177010,0.6258099496351115
1X,100,true,R10,astral_3_v5.7.7,13613610,0.6996407647240209
1X,100,true,R11,astral_3_v5.7.7,13652758,0.701652687840477
1X,100,true,R12,astral_3_v5.7.7,13623547,0.7001514544146367
1X,100,true,R13,astral_3_v5.7.7,13594809,0.6986745297563984
1X,100,true,R14,astral_3_v5.7.7,13571962,0.6975003597492034
1X,100,true,R15,astral_3_v5.7.7,13651271,0.7015762668311234
1X,100,true,R16,astral_3_v5.7.7,13408137,0.6890809435707678
1X,100,true,R17,astral_3_v5.7.7,13620328,0.6999860211738103
1X,100,true,R18,astral_3_v5.7.7,13476489,0.6925937403638607
1X,100,true,R19,astral_3_v5.7.7,13821845,0.7103425326343921
1X,100,true,R1,astral_3_v5.7.7,13599913,0.6989368383184295
1X,100,true,R20,astral_3_v5.7.7,13789850,0.7086982218110802
1X,100,true,R2,astral_3_v5.7.7,13825226,0.7105162914996402
1X,100,true,R3,astral_3_v5.7.7,13651351,0.701580378250591
1X,100,true,R4,astral_3_v5.7.7,13991309,0.719051752492548
1X,100,true,R5,astral_3_v5.7.7,13687317,0.7034287696577244
1X,100,true,R6,astral_3_v5.7.7,13718290,0.7050205570973379
1X,100,true,R7,astral_3_v5.7.7,13714165,0.7048085620310413
1X,100,true,R8,astral_3_v5.7.7,13721373,0.7051790009250694
1X,100,true,R9,astral_3_v5.7.7,13775873,0.7079799054373522
1X,200,500,R10,astral_3_v5.7.7,24592286,0.6319325213279885
1X,200,500,R11,astral_3_v5.7.7,24776176,0.6366578271148113
1X,200,500,R12,astral_3_v5.7.7,24431301,0.62779579093432
1X,200,500,R13,astral_3_v5.7.7,24689605,0.634433266522767
1X,200,500,R14,astral_3_v5.7.7,24896241,0.6397430619796485
1X,200,500,R15,astral_3_v5.7.7,24828746,0.6380086853736252
1X,200,500,R16,astral_3_v5.7.7,24378349,0.6264351166615274
1X,200,500,R17,astral_3_v5.7.7,24206800,0.6220269297975126
1X,200,500,R18,astral_3_v5.7.7,24620007,0.6326448504471168
1X,200,500,R19,astral_3_v5.7.7,24825065,0.6379140970294994
1X,200,500,R1,astral_3_v5.7.7,24597905,0.6320769092404153
1X,200,500,R20,astral_3_v5.7.7,25044361,0.6435492085517525
1X,200,500,R2,astral_3_v5.7.7,24488062,0.6292543426868126
1X,200,500,R3,astral_3_v5.7.7,24706962,0.6348792784458834
1X,200,500,R4,astral_3_v5.7.7,24703952,0.6348019323671498
1X,200,500,R5,astral_3_v5.7.7,24934005,0.6407134597594819
1X,200,500,R6,astral_3_v5.7.7,24637141,0.6330851320793504
1X,200,500,R7,astral_3_v5.7.7,24284966,0.6240355123856511
1X,200,500,R8,astral_3_v5.7.7,24678084,0.6341372186247302
1X,200,500,R9,astral_3_v5.7.7,24336462,0.6253587727412889
1X,200,true,R10,astral_3_v5.7.7,27134900,0.6972684756912324
1X,200,true,R11,astral_3_v5.7.7,27194021,0.6987876708808716
1X,200,true,R12,astral_3_v5.7.7,27277679,0.7009373779422345
1X,200,true,R13,astral_3_v5.7.7,27069679,0.695592532634392
1X,200,true,R14,astral_3_v5.7.7,27449831,0.7053610597183677
1X,200,true,R15,astral_3_v5.7.7,27295884,0.7014051803885292
1X,200,true,R16,astral_3_v5.7.7,27014602,0.6941772535717957
1X,200,true,R17,astral_3_v5.7.7,27076133,0.6957583770171651
1X,200,true,R18,astral_3_v5.7.7,27002086,0.6938556377839449
1X,200,true,R19,astral_3_v5.7.7,27575089,0.7085797358412992
1X,200,true,R1,astral_3_v5.7.7,27038926,0.6948022921163531
1X,200,true,R20,astral_3_v5.7.7,27439576,0.7050975434268681
1X,200,true,R2,astral_3_v5.7.7,27440089,0.705110725665536
1X,200,true,R3,astral_3_v5.7.7,26958994,0.6927483297358413
1X,200,true,R4,astral_3_v5.7.7,27688530,0.7114947579401788
1X,200,true,R5,astral_3_v5.7.7,27436462,0.7050175249254805
1X,200,true,R6,astral_3_v5.7.7,27313720,0.7018635008736767
1X,200,true,R7,astral_3_v5.7.7,27287928,0.7012007400555041
1X,200,true,R8,astral_3_v5.7.7,27308908,0.7017398499331894
1X,200,true,R9,astral_3_v5.7.7,27345449,0.7026788210504676
1X,25,500,R10,astral_3_v5.7.7,2996998,0.6160957960735944
1X,25,500,R11,astral_3_v5.7.7,3223525,0.6626631719601193
1X,25,500,R12,astral_3_v5.7.7,3086016,0.634395312981807
1X,25,500,R13,astral_3_v5.7.7,3185178,0.6547801418439716
1X,25,500,R14,astral_3_v5.7.7,3138680,0.6452215027238154
1X,25,500,R15,astral_3_v5.7.7,3156340,0.6488518861136807
1X,25,500,R16,astral_3_v5.7.7,3086539,0.634502826600884
1X,25,500,R17,astral_3_v5.7.7,3089402,0.6350913762976668
1X,25,500,R18,astral_3_v5.7.7,3069652,0.6310313495734402
1X,25,500,R19,astral_3_v5.7.7,3188379,0.6554381745297564
1X,25,500,R1,astral_3_v5.7.7,3113485,0.6400421420495426
1X,25,500,R20,astral_3_v5.7.7,3186749,0.6551030938431494
1X,25,500,R2,astral_3_v5.7.7,3070109,0.6311252955082742
1X,25,500,R3,astral_3_v5.7.7,3172056,0.6520826395312982
1X,25,500,R4,astral_3_v5.7.7,3094025,0.6360417309075959
1X,25,500,R5,astral_3_v5.7.7,3087035,0.6346047898036797
1X,25,500,R6,astral_3_v5.7.7,3246394,0.6673643745503135
