NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
10,2000000,1e-06,2,estimatedgenetre,1000,treeqmc_n1_v1.0.0,heron01,0,0.0,0.9334969696969696,0.377,0.0
10,2000000,1e-06,2,estimatedgenetre,1000,treeqmc_n2_v1.0.0,heron01,0,0.0,0.9334969696969696,0.377,0.0
10,2000000,1e-06,2,estimatedgenetre,1000,astral_3_v5.7.7,heron01,0,0.0,0.9334969696969696,1.539,0.0
10,2000000,1e-06,2,estimatedgenetre,1000,fastral,heron01,0,0.0,0.9334969696969696,7.069,0.0
10,2000000,1e-06,2,estimatedgenetre,1000,wqfm_v1.3,heron01,0,0.0,0.9334969696969696,13.498999999999999,0.9441440106674569
10,2000000,1e-06,2,estimatedgenetre,1000,wqmc_v3.0,heron01,0,0.0,0.9334969696969696,12.834999999999999,0.9929879236462797
10,2000000,1e-06,2,estimatedgenetre,1000,TRUE,heron01,0,0.0,0.9334969696969696,0.0,0.0
10,2000000,1e-06,2,truegenetrees,1000,treeqmc_n0_v1.0.0,heron01,0,0.0,0.9457878787878788,0.392,0.0
10,2000000,1e-06,2,truegenetrees,1000,treeqmc_n1_v1.0.0,heron01,0,0.0,0.9457878787878788,0.375,0.0
10,2000000,1e-06,2,truegenetrees,1000,treeqmc_n2_v1.0.0,heron01,0,0.0,0.9457878787878788,0.374,0.0
10,2000000,1e-06,2,truegenetrees,1000,astral_3_v5.7.7,heron01,0,0.0,0.9457878787878788,1.04,0.0
10,2000000,1e-06,2,truegenetrees,1000,fastral,heron01,0,0.0,0.9457878787878788,5.789,0.0
10,2000000,1e-06,2,truegenetrees,1000,TRUE,heron01,0,0.0,0.9457878787878788,0.0,0.0
10,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron02,0,0.0,0.9007030303030303,0.098,0.0
10,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron02,0,0.0,0.9007030303030303,0.095,0.0
10,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron02,0,0.0,0.9007030303030303,0.099,0.0
10,2000000,1e-06,3,estimatedgenetre,250,astral_3_v5.7.7,heron02,0,0.0,0.9007030303030303,1.114,0.0
10,2000000,1e-06,3,estimatedgenetre,250,fastral,heron02,0,0.0,0.9007030303030303,5.984,0.0
10,2000000,1e-06,3,estimatedgenetre,250,wqfm_v1.3,heron02,0,0.0,0.9007030303030303,4.664,0.8259005145797599
10,2000000,1e-06,3,estimatedgenetre,250,wqmc_v3.0,heron02,0,0.0,0.9007030303030303,3.947,0.975931086901444
10,2000000,1e-06,3,estimatedgenetre,250,TRUE,heron02,0,0.0,0.9007030303030303,0.0,0.0
10,2000000,1e-06,3,truegenetrees,250,treeqmc_n0_v1.0.0,heron02,0,0.0,0.915830303030303,0.124,0.0
10,2000000,1e-06,3,truegenetrees,250,treeqmc_n1_v1.0.0,heron02,0,0.0,0.915830303030303,0.097,0.0
10,2000000,1e-06,3,truegenetrees,250,treeqmc_n2_v1.0.0,heron02,0,0.0,0.915830303030303,0.097,0.0
10,2000000,1e-06,3,truegenetrees,250,astral_3_v5.7.7,heron02,0,0.0,0.915830303030303,0.645,0.0
10,2000000,1e-06,3,truegenetrees,250,fastral,heron02,0,0.0,0.915830303030303,4.917,0.0
10,2000000,1e-06,3,truegenetrees,250,TRUE,heron02,0,0.0,0.915830303030303,0.0,0.0
10,2000000,1e-06,3,estimatedgenetre,1000,treeqmc_n0_v1.0.0,heron02,0,0.0,0.9018484848484848,0.374,0.0
