NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NL,I1,I2,FN,FP,RF
1000,2000000,0.000001,27,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,85,85,0.085170
1000,2000000,0.000001,27,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,27,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,28,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,21,21,0.021042
1000,2000000,0.000001,28,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,40,40,0.040080
1000,2000000,0.000001,28,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,28,truegenetrees,250,astral_3_v5.7.7,1001,998,998,26,26,0.026052
1000,2000000,0.000001,29,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,48,48,0.048096
1000,2000000,0.000001,29,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,72,72,0.072144
1000,2000000,0.000001,29,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,29,truegenetrees,250,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,30,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,203,203,0.203407
1000,2000000,0.000001,30,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,206,206,0.206413
1000,2000000,0.000001,30,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,30,truegenetrees,250,astral_3_v5.7.7,1001,998,998,20,20,0.020040
1000,2000000,0.000001,31,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,76,76,0.076152
1000,2000000,0.000001,31,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,73,73,0.073146
1000,2000000,0.000001,31,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,31,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,32,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,68,68,0.068136
1000,2000000,0.000001,32,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,93,93,0.093186
1000,2000000,0.000001,32,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,32,truegenetrees,250,astral_3_v5.7.7,1001,998,998,25,25,0.025050
1000,2000000,0.000001,33,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,33,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,33,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,6,6,0.006012
1000,2000000,0.000001,33,truegenetrees,250,astral_3_v5.7.7,1001,998,998,13,13,0.013026
1000,2000000,0.000001,34,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,35,35,0.035070
1000,2000000,0.000001,34,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,40,40,0.040080
1000,2000000,0.000001,34,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,34,truegenetrees,250,astral_3_v5.7.7,1001,998,998,16,16,0.016032
1000,2000000,0.000001,35,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,35,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,35,35,0.035070
1000,2000000,0.000001,35,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,35,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,36,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,20,20,0.020040
1000,2000000,0.000001,36,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,27,27,0.027054
1000,2000000,0.000001,36,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,36,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,37,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,37,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,30,30,0.030060
1000,2000000,0.000001,37,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,13,13,0.013026
1000,2000000,0.000001,37,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,38,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,140,140,0.140281
1000,2000000,0.000001,38,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,38,truegenetrees,250,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,39,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,39,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,32,32,0.032064
1000,2000000,0.000001,39,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,39,truegenetrees,250,astral_3_v5.7.7,1001,998,998,15,15,0.015030
1000,2000000,0.000001,40,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,65,65,0.065130
1000,2000000,0.000001,40,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,78,78,0.078156
1000,2000000,0.000001,40,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,40,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,41,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,30,30,0.030060
1000,2000000,0.000001,41,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,50,50,0.050100
1000,2000000,0.000001,41,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,41,truegenetrees,250,astral_3_v5.7.7,1001,998,998,21,21,0.021042
1000,2000000,0.000001,42,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,42,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,42,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,42,truegenetrees,250,astral_3_v5.7.7,1001,998,998,21,21,0.021042
1000,2000000,0.000001,43,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,43,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,43,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,5,5,0.005010
1000,2000000,0.000001,43,truegenetrees,250,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,44,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,92,92,0.092184
1000,2000000,0.000001,44,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,104,104,0.104208
1000,2000000,0.000001,44,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,16,16,0.016032
1000,2000000,0.000001,44,truegenetrees,250,astral_3_v5.7.7,1001,998,998,27,27,0.027054
1000,2000000,0.000001,45,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,45,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,45,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,2,2,0.002004
1000,2000000,0.000001,45,truegenetrees,250,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,46,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,46,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,28,28,0.028056
1000,2000000,0.000001,46,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,46,truegenetrees,250,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,47,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,42,42,0.042084
1000,2000000,0.000001,47,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,48,48,0.048096
1000,2000000,0.000001,47,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,47,truegenetrees,250,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,48,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,21,21,0.021042
1000,2000000,0.000001,48,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,33,33,0.033066
1000,2000000,0.000001,48,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,48,truegenetrees,250,astral_3_v5.7.7,1001,998,998,15,15,0.015030
1000,2000000,0.000001,49,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,151,151,0.151303
1000,2000000,0.000001,49,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,157,157,0.157315
1000,2000000,0.000001,49,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,49,truegenetrees,250,astral_3_v5.7.7,1001,998,998,29,29,0.029058
1000,2000000,0.000001,50,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,40,40,0.040080
1000,2000000,0.000001,50,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,53,53,0.053106
1000,2000000,0.000001,50,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,50,truegenetrees,250,astral_3_v5.7.7,1001,998,998,21,21,0.021042
100,2000000,0.000001,01,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,01,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,6,6,0.061224
100,2000000,0.000001,01,truegenetrees,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,01,truegenetrees,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,02,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,02,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,02,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,02,truegenetrees,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,03,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,9,9,0.091837
100,2000000,0.000001,03,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,13,13,0.132653
100,2000000,0.000001,03,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,03,truegenetrees,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,04,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,5,5,0.051020
100,2000000,0.000001,04,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,8,8,0.081633
100,2000000,0.000001,04,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,04,truegenetrees,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,05,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,05,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,05,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,05,truegenetrees,250,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,06,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,06,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,06,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,06,truegenetrees,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,07,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,4,4,0.040816
100,2000000,0.000001,07,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,07,truegenetrees,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,07,truegenetrees,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,08,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,8,8,0.081633
100,2000000,0.000001,08,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,14,14,0.142857
100,2000000,0.000001,08,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,08,truegenetrees,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,09,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,09,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,4,4,0.040816
100,2000000,0.000001,09,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,09,truegenetrees,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,10,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,5,5,0.051020
100,2000000,0.000001,10,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,8,8,0.081633
100,2000000,0.000001,10,truegenetrees,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,10,truegenetrees,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,11,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,11,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,4,4,0.040816
100,2000000,0.000001,11,truegenetrees,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,11,truegenetrees,250,astral_3_v5.7.7,101,98,98,4,4,0.040816
100,2000000,0.000001,12,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,12,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,12,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,12,truegenetrees,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,13,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,13,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,13,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,13,truegenetrees,250,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,14,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,14,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,14,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,14,truegenetrees,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,15,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,15,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,15,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,15,truegenetrees,250,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,16,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,16,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,3,3,0.030612
100,2000000,0.000001,16,truegenetrees,1000,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,16,truegenetrees,250,astral_3_v5.7.7,101,98,98,0,0,0.000000
100,2000000,0.000001,17,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,17,estimatedgenetre,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,17,truegenetrees,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
100,2000000,0.000001,17,truegenetrees,250,astral_3_v5.7.7,101,98,98,2,2,0.020408
100,2000000,0.000001,18,estimatedgenetre,1000,astral_3_v5.7.7,101,98,98,1,1,0.010204
