# x = cryCin,tinGut,notPer,eudEle,anoDid
# y = aptHaa,aptOwe,aptRow,aptMan,casCas,droNov
# z = rheAme,rhePen
# w = strCam,galGal
id	position	f_xy|zw	f_xz|yw	f_xw|yz	totalf
0	1	0.867394	0	0.799112	1.66651
1	2	1.15994	0	0	1.15994
2	3	0.388227	0	0.815161	1.20339
3	4	0.823281	0	0.524713	1.34799
4	5	0.23012	0.392235	0	0.622355
