NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
500,2000000,1e-06,2,truegenetrees,1000,treeqmc_n1_v1.0.0,heron03,3,0.006024,0.7402554389957319,853.232,0.0
500,2000000,1e-06,2,truegenetrees,1000,treeqmc_n2_v1.0.0,heron03,3,0.006024,0.7402554166488473,848.486,0.0
500,2000000,1e-06,2,truegenetrees,1000,astral_3_v5.7.7,heron03,3,0.006024,0.7402554389957319,1469.631,0.0
500,2000000,1e-06,2,truegenetrees,1000,fastral,heron03,3,0.006024,0.7402554389957319,287.872,0.0
500,2000000,1e-06,2,truegenetrees,1000,TRUE,heron03,0,0,0.7402506177531216,0,0.0
500,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron09,51,0.10240999999999999,0.6434295781929151,210.564,0.0
500,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron09,42,0.084337,0.6433990457696771,222.626,0.0
500,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron09,31,0.062249,0.643372360938504,220.077,0.0
500,2000000,1e-06,3,estimatedgenetre,250,astral_3_v5.7.7,heron09,44,0.088353,0.6434790504663706,543.893,0.0
500,2000000,1e-06,3,estimatedgenetre,250,fastral,heron09,42,0.084337,0.6434946757865104,221.837,0.0
500,2000000,1e-06,3,estimatedgenetre,250,TRUE,heron09,0,0,0.6431099768420279,0,0.0
500,2000000,1e-06,3,truegenetrees,250,treeqmc_n0_v1.0.0,heron09,6,0.012048,0.7613714519644584,206.277,0.0
500,2000000,1e-06,3,truegenetrees,250,treeqmc_n1_v1.0.0,heron09,6,0.012048,0.7613714519644584,218.204,0.0
500,2000000,1e-06,3,truegenetrees,250,treeqmc_n2_v1.0.0,heron09,7,0.014056,0.761371235298146,216.348,0.0
500,2000000,1e-06,3,truegenetrees,250,astral_3_v5.7.7,heron09,6,0.012048,0.7613714519644584,152.822,0.0
500,2000000,1e-06,3,truegenetrees,250,fastral,heron09,6,0.012048,0.7613714519644584,140.63400000000001,0.0
500,2000000,1e-06,3,truegenetrees,250,TRUE,heron09,0,0,0.7613671231506131,0,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,treeqmc_n0_v1.0.0,heron07,42,0.084337,0.6465730769830067,828.925,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,treeqmc_n1_v1.0.0,heron07,29,0.05823300000000001,0.6468247124982717,873.5889999999999,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,treeqmc_n2_v1.0.0,heron07,27,0.054216999999999994,0.6468034988974655,863.819,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,astral_3_v5.7.7,heron07,37,0.074297,0.6468590284466198,5536.291,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,fastral,heron07,32,0.06425700000000001,0.6468131633197376,368.491,0.0
500,2000000,1e-06,3,estimatedgenetre,1000,TRUE,heron07,0,0,0.6464371358632423,0,0.0
500,2000000,1e-06,3,truegenetrees,1000,treeqmc_n0_v1.0.0,heron07,1,0.002008,0.7636394506576579,812.111,0.0
500,2000000,1e-06,3,truegenetrees,1000,treeqmc_n1_v1.0.0,heron07,1,0.002008,0.7636394506576579,849.829,0.0
500,2000000,1e-06,3,truegenetrees,1000,treeqmc_n2_v1.0.0,heron07,3,0.006024,0.7636261480332668,854.006,0.0
500,2000000,1e-06,3,truegenetrees,1000,astral_3_v5.7.7,heron07,1,0.002008,0.7636394506576579,1329.195,0.0
500,2000000,1e-06,3,truegenetrees,1000,fastral,heron07,1,0.002008,0.7636394506576579,289.506,0.0
500,2000000,1e-06,3,truegenetrees,1000,TRUE,heron07,0,0,0.7636394405008945,0,0.0
500,2000000,1e-06,4,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron04,23,0.046185000000000004,0.6380507146495069,207.668,0.0
500,2000000,1e-06,4,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron04,20,0.040161,0.6386915148387522,216.309,0.0
500,2000000,1e-06,4,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron04,18,0.036145,0.6386943787993209,215.026,0.0
500,2000000,1e-06,4,estimatedgenetre,250,astral_3_v5.7.7,heron04,19,0.038153,0.6386947451953894,206.375,0.0
500,2000000,1e-06,4,estimatedgenetre,250,fastral,heron04,19,0.038153,0.6386947451953894,142.058,0.0
500,2000000,1e-06,4,estimatedgenetre,250,TRUE,heron04,0,0,0.6386116896464613,0,0.0
500,2000000,1e-06,4,truegenetrees,250,treeqmc_n0_v1.0.0,heron04,9,0.018072,0.6718273719429335,206.276,0.0
500,2000000,1e-06,4,truegenetrees,250,treeqmc_n1_v1.0.0,heron04,6,0.012048,0.6718632090297035,214.47,0.0
500,2000000,1e-06,4,truegenetrees,250,treeqmc_n2_v1.0.0,heron04,5,0.01004,0.6718625810129265,213.406,0.0
