NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSWN,QSWH,DIFF_QSWN,DIFF_QSWH
200,50,4,bs,TQMC-wh_n2,20,20,0.20408163265306123,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n1,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,5,abayes,ASTER-wh,13,13,0.1326530612244898,115194949.0,57955555.9,0.0037191253960856306,0.0031704436033355267
200,50,5,abayes,ASTRID-ws,13,13,0.1326530612244898,115297674.0,57794556.5,0.004614191091685816,0.00038365574478149705
200,50,5,abayes,TQMC-n2,14,14,0.14285714285714285,115225225.0,57794680.95,0.003982926895233756,0.00038580988789634936
200,50,5,abayes,TQMC-wn_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,5,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n2,11,11,0.11224489795918367,115295174.0,57860816.32,0.004592408037521781,0.0015305672356689041
200,50,5,abayes,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n0,14,14,0.14285714285714285,115160521.0,57943777.57,0.003419146600581876,0.0029665688867959745
200,50,5,bs,ASTER-wh,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,5,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,5,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n0,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,6,abayes,ASTER-wh,14,14,0.14285714285714285,109785668.0,65932202.18,0.0023001866457196926,0.0028734906874970296
200,50,6,abayes,ASTRID-ws,12,12,0.12244897959183673,109692603.0,65895895.78,0.0014505396146501735,0.002321245731339021
200,50,6,abayes,TQMC-n2,15,15,0.15306122448979592,109716872.0,65161124.06,0.0016721060875135073,-0.008855130232611148
200,50,6,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,abayes,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n2,13,13,0.1326530612244898,109722854.0,65912637.71,0.0017267194065900438,0.0025759018360161762
200,50,6,abayes,TQMC-wh_n1,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n0,14,14,0.14285714285714285,109785668.0,65932202.18,0.0023001866457196926,0.0028734906874970296
200,50,6,bs,ASTER-wh,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,ASTRID-ws,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,6,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,bs,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,7,abayes,ASTER-wh,11,11,0.11224489795918367,120179408.0,78077632.98,0.0017547298405974315,0.004654192763087354
200,50,7,abayes,ASTRID-ws,12,12,0.12244897959183673,120175876.0,78024022.18,0.0017252888759207126,0.003964362488504403
200,50,7,abayes,TQMC-n2,15,15,0.15306122448979592,120299747.0,77897065.89,0.002757814848590545,0.0023307682800474826
200,50,7,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,7,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n2,11,11,0.11224489795918367,120207715.0,77916619.18,0.001990682668203287,0.0025823677974899633
200,50,7,abayes,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n0,12,12,0.12244897959183673,120179891.0,78076905.97,0.0017587558841814788,0.004644838052694517
200,50,7,bs,ASTER-wh,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,7,bs,ASTRID-ws,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,7,bs,TQMC-n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,7,bs,TQMC-wn_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,7,bs,TQMC-ws_n2,10,10,0.10204081632653061,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n2,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n1,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,8,abayes,ASTER-wh,16,16,0.16326530612244897,101997081.0,60666685.85,0.002075938308867899,0.006488467091590374
200,50,8,abayes,ASTRID-ws,22,22,0.22448979591836735,101489596.0,60068057.32,-0.0029098760160800458,-0.003443057979792659
200,50,8,abayes,TQMC-n2,17,17,0.17346938775510204,101705532.0,60179862.82,-0.0007884008945060892,-0.0015881528579660843
200,50,8,abayes,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,8,abayes,TQMC-ws_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n2,18,18,0.1836734693877551,101185222.0,60284350.32,-0.005900215138106718,0.00014534324836906252
200,50,8,abayes,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n0,15,15,0.15306122448979592,101519865.0,60546024.23,-0.00261249655894959,0.004486634829797343
200,50,8,bs,ASTER-wh,24,24,0.24489795918367346,NA,NA,NA,NA
200,50,8,bs,ASTRID-ws,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,8,bs,TQMC-n2,24,24,0.24489795918367346,NA,NA,NA,NA
200,50,8,bs,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,8,bs,TQMC-ws_n2,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n2,22,22,0.22448979591836735,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n1,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,9,abayes,ASTER-wh,6,6,0.061224489795918366,126978534.0,30783065.41,2.1263888686094396e-05,6.645231392546273e-05
200,50,9,abayes,ASTRID-ws,9,9,0.09183673469387756,127015118.0,30779887.46,0.0003093817048683453,-3.679150340722748e-05
200,50,9,abayes,TQMC-n2,7,7,0.07142857142857142,127071765.0,30766690.91,0.0007555059650169338,-0.0004655151137919438
200,50,9,abayes,TQMC-wn_n2,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,9,abayes,TQMC-ws_n2,6,6,0.061224489795918366,NA,NA,NA,NA
200,50,9,abayes,TQMC-wh_n2,6,6,0.061224489795918366,127000535.0,30780578.38,0.00019453307942045097,-1.4345203663267051e-05
200,50,9,abayes,TQMC-wh_n1,5,5,0.05102040816326531,NA,NA,NA,NA
200,50,9,abayes,TQMC-wh_n0,5,5,0.05102040816326531,126981111.0,30782609.6,4.155908910982227e-05,5.164416263979552e-05
200,50,9,bs,ASTER-wh,4,4,0.04081632653061224,NA,NA,NA,NA
200,50,9,bs,ASTRID-ws,4,4,0.04081632653061224,NA,NA,NA,NA
200,50,9,bs,TQMC-n2,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,9,bs,TQMC-wn_n2,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,9,bs,TQMC-ws_n2,5,5,0.05102040816326531,NA,NA,NA,NA
200,50,9,bs,TQMC-wh_n2,2,2,0.02040816326530612,NA,NA,NA,NA
200,50,9,bs,TQMC-wh_n1,4,4,0.04081632653061224,NA,NA,NA,NA
200,50,9,bs,TQMC-wh_n0,4,4,0.04081632653061224,NA,NA,NA,NA
200,50,10,abayes,ASTER-wh,10,10,0.10204081632653061,119929244.0,54934753.2,0.0032548811736106582,0.003253300353071212
200,50,10,abayes,ASTRID-ws,15,15,0.15306122448979592,120022930.0,54847049.05,0.004038601087642893,0.0016515915473207788
200,50,10,abayes,TQMC-n2,11,11,0.11224489795918367,120031578.0,54883421.81,0.004110944979116013,0.0023158539565847846
200,50,10,abayes,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,10,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,10,abayes,TQMC-wh_n2,12,12,0.12244897959183673,119979814.0,54865437.29,0.003677918938619412,0.0019874092472842776
200,50,10,abayes,TQMC-wh_n1,10,10,0.10204081632653061,NA,NA,NA,NA
200,50,10,abayes,TQMC-wh_n0,11,11,0.11224489795918367,119867554.0,54917501.99,0.0027388202734052003,0.0029382478160265057
200,50,10,bs,ASTER-wh,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,10,bs,ASTRID-ws,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,10,bs,TQMC-n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,10,bs,TQMC-wn_n2,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,10,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,10,bs,TQMC-wh_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,10,bs,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA
200,50,10,bs,TQMC-wh_n0,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,11,abayes,ASTER-wh,15,15,0.15306122448979592,127686025.0,56565439.9,0.005122972701107544,0.007630796279244868
200,50,11,abayes,ASTRID-ws,16,16,0.16326530612244897,127229512.0,56244967.73,0.001529378933608707,0.001922052063460217
200,50,11,abayes,TQMC-n2,17,17,0.17346938775510204,127525872.0,56471232.88,0.0038622751467197363,0.005952635643607515
200,50,11,abayes,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,11,abayes,TQMC-ws_n2,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,11,abayes,TQMC-wh_n2,15,15,0.15306122448979592,127689005.0,56551626.82,0.00514643076128797,0.007384736409047216
200,50,11,abayes,TQMC-wh_n1,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,11,abayes,TQMC-wh_n0,14,14,0.14285714285714285,127678997.0,56564989.0,0.0050676494638766615,0.00762276415350088
200,50,11,bs,ASTER-wh,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,11,bs,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,11,bs,TQMC-n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,11,bs,TQMC-wn_n2,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,11,bs,TQMC-ws_n2,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,11,bs,TQMC-wh_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,11,bs,TQMC-wh_n1,15,15,0.15306122448979592,NA,NA,NA,NA
