NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,7,abayes,TQMC-wh_n1,11,11,0.11224489795918367
200,50,7,bs,TQMC-wh_n0,9,9,0.09183673469387756
200,50,7,abayes,TQMC-wh_n0,12,12,0.12244897959183673
200,50,8,bs,ASTER-wh,24,24,0.24489795918367346
200,50,8,abayes,ASTER-wh,16,16,0.16326530612244897
200,50,8,bs,ASTRID-ws,23,23,0.23469387755102042
200,50,8,abayes,ASTRID-ws,22,22,0.22448979591836735
200,50,8,bs,TQMC-wh_n2,22,22,0.22448979591836735
200,50,8,abayes,TQMC-wh_n2,18,18,0.1836734693877551
200,50,8,none_keeppoly,TQMC-n2,17,17,0.17346938775510204
200,50,8,none_refinepoly,TQMC-n2,17,17,0.17346938775510204
200,50,8,bs,TQMC-ws_n2,23,23,0.23469387755102042
200,50,8,abayes,TQMC-ws_n2,17,17,0.17346938775510204
200,50,8,bs,TQMC-wh_n1,23,23,0.23469387755102042
200,50,8,abayes,TQMC-wh_n1,16,16,0.16326530612244897
200,50,8,bs,TQMC-wh_n0,19,19,0.19387755102040816
200,50,8,abayes,TQMC-wh_n0,15,15,0.15306122448979592
200,50,9,bs,ASTER-wh,4,4,0.04081632653061224
200,50,9,abayes,ASTER-wh,6,6,0.061224489795918366
200,50,9,bs,ASTRID-ws,4,4,0.04081632653061224
200,50,9,abayes,ASTRID-ws,9,9,0.09183673469387756
200,50,9,bs,TQMC-wh_n2,2,2,0.02040816326530612
200,50,9,abayes,TQMC-wh_n2,6,6,0.061224489795918366
200,50,9,none_keeppoly,TQMC-n2,7,7,0.07142857142857142
200,50,9,none_refinepoly,TQMC-n2,7,7,0.07142857142857142
200,50,9,bs,TQMC-ws_n2,5,5,0.05102040816326531
200,50,9,abayes,TQMC-ws_n2,6,6,0.061224489795918366
200,50,9,bs,TQMC-wh_n1,4,4,0.04081632653061224
200,50,9,abayes,TQMC-wh_n1,5,5,0.05102040816326531
200,50,9,bs,TQMC-wh_n0,4,4,0.04081632653061224
200,50,9,abayes,TQMC-wh_n0,5,5,0.05102040816326531
200,50,10,bs,ASTER-wh,11,11,0.11224489795918367
200,50,10,abayes,ASTER-wh,10,10,0.10204081632653061
200,50,10,bs,ASTRID-ws,12,12,0.12244897959183673
200,50,10,abayes,ASTRID-ws,15,15,0.15306122448979592
200,50,10,bs,TQMC-wh_n2,12,12,0.12244897959183673
200,50,10,abayes,TQMC-wh_n2,12,12,0.12244897959183673
200,50,10,none_keeppoly,TQMC-n2,11,11,0.11224489795918367
200,50,10,none_refinepoly,TQMC-n2,11,11,0.11224489795918367
200,50,10,bs,TQMC-ws_n2,13,13,0.1326530612244898
200,50,10,abayes,TQMC-ws_n2,12,12,0.12244897959183673
