SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
1X,1000,true,R17,quartets,heron03,11m32.315s,28m37.327s,13m43.421s
1X,1000,true,R18,quartets,heron08,10m33.784s,29m11.148s,12m15.188s
1X,1000,true,R19,quartets,heron10,10m42.352s,28m2.248s,12m47.639s
1X,1000,true,R1,quartets,heron05,10m25.223s,28m22.288s,12m10.242s
1X,1000,true,R20,quartets,heron09,11m33.107s,29m13.345s,13m52.754s
1X,1000,true,R2,quartets,heron09,11m34.213s,28m23.052s,13m55.919s
1X,1000,true,R3,quartets,heron07,11m22.025s,27m59.466s,13m41.934s
1X,1000,true,R4,quartets,heron10,11m6.566s,29m0.898s,13m15.658s
1X,1000,true,R5,quartets,heron00,21m41.889s,55m31.643s,25m38.977s
1X,1000,true,R6,quartets,heron08,10m33.141s,29m14.214s,12m22.148s
1X,1000,true,R7,quartets,heron04,11m34.746s,28m34.739s,13m49.035s
1X,1000,true,R8,quartets,heron00,20m52.912s,53m49.351s,24m35.429s
1X,1000,true,R9,quartets,heron01,11m15.818s,29m12.440s,13m21.686s
1X,100,500,R10,quartets,heron07,1m13.832s,2m51.389s,1m27.307s
1X,100,500,R11,quartets,heron08,1m6.804s,2m48.328s,1m15.863s
1X,100,500,R12,quartets,heron03,1m12.251s,2m58.768s,1m24.362s
1X,100,500,R13,quartets,heron04,1m13.470s,2m48.910s,1m26.462s
1X,100,500,R14,quartets,heron09,1m12.730s,2m51.437s,1m24.812s
1X,100,500,R15,quartets,heron05,1m8.199s,2m52.930s,1m17.289s
1X,100,500,R16,quartets,heron11,1m9.839s,2m45.763s,1m20.035s
1X,100,500,R17,quartets,heron01,1m8.649s,2m50.537s,1m19.312s
1X,100,500,R18,quartets,heron00,2m8.411s,5m31.105s,2m22.585s
1X,100,500,R19,quartets,heron06,1m8.151s,2m53.770s,1m19.189s
1X,100,500,R1,quartets,heron04,1m15.768s,2m59.628s,1m29.217s
1X,100,500,R20,quartets,heron02,1m11.446s,2m49.370s,1m21.155s
1X,100,500,R2,quartets,heron03,1m15.215s,2m47.732s,1m27.281s
