SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
0.5X,1000,true,R7,treeqmc_n2_v1.0.0,heron06,3,0.06666699999999999,0.6101686864014801,11.189,0.0
0.5X,1000,true,R7,astral_3_v5.7.7,heron06,5,0.11111099999999999,0.6099647342995169,192.113,0.0
0.5X,1000,true,R7,fastral,heron06,3,0.06666699999999999,0.6101686864014801,17.088,0.0
0.5X,1000,true,R7,wqfm_v1.3,heron06,3,0.06666699999999999,0.6101686864014801,725.2330000000001,0.9232425992749916
0.5X,1000,true,R7,wqmc_v3.0,heron06,6,0.13333299999999998,0.6096265443519375,671.2320000000001,0.9975179967581997
0.5X,1000,true,R7,TRUE,heron06,0,0.0,0.609413444341659,0.0,0.0
0.5X,1000,true,R8,treeqmc_n0_v1.0.0,heron07,4,0.088889,0.6174399886935965,10.339,0.0
0.5X,1000,true,R8,treeqmc_n1_v1.0.0,heron07,2,0.044444,0.6173401994038442,11.398,0.0
0.5X,1000,true,R8,treeqmc_n2_v1.0.0,heron07,3,0.06666699999999999,0.6172314215232809,11.402,0.0
0.5X,1000,true,R8,astral_3_v5.7.7,heron07,3,0.06666699999999999,0.6173859286668723,173.046,0.0
0.5X,1000,true,R8,fastral,heron07,3,0.06666699999999999,0.6173713536848597,16.903,0.0
0.5X,1000,true,R8,wqfm_v1.3,heron07,2,0.044444,0.6172381848083051,727.869,0.946637375681613
0.5X,1000,true,R8,wqmc_v3.0,heron07,4,0.088889,0.6174399886935965,690.535,0.9978176341532291
0.5X,1000,true,R8,TRUE,heron07,0,0.0,0.6172152842018707,0.0,0.0
0.5X,1000,true,R9,treeqmc_n0_v1.0.0,heron08,0,0.0,0.6147276030424504,10.419,0.0
0.5X,1000,true,R9,treeqmc_n1_v1.0.0,heron08,0,0.0,0.6147276030424504,11.283,0.0
0.5X,1000,true,R9,treeqmc_n2_v1.0.0,heron08,1,0.022222,0.6147142100935348,11.3,0.0
0.5X,1000,true,R9,astral_3_v5.7.7,heron08,0,0.0,0.6147276030424504,178.231,0.0
0.5X,1000,true,R9,fastral,heron08,0,0.0,0.6147276030424504,18.386,0.0
0.5X,1000,true,R9,wqfm_v1.3,heron08,1,0.022222,0.6147163634494809,704.53,0.9235845173377997
0.5X,1000,true,R9,wqmc_v3.0,heron08,3,0.06666699999999999,0.6140627454003494,652.146,0.9977719713070387
0.5X,1000,true,R9,TRUE,heron08,0,0.0,0.6147276030424504,0.0,0.0
0.5X,1000,true,R10,treeqmc_n0_v1.0.0,heron09,2,0.044444,0.6176775722068044,10.439,0.0
0.5X,1000,true,R10,treeqmc_n1_v1.0.0,heron09,2,0.044444,0.6178264107308048,11.206,0.0
0.5X,1000,true,R10,treeqmc_n2_v1.0.0,heron09,0,0.0,0.6177488333847261,11.079,0.0
0.5X,1000,true,R10,astral_3_v5.7.7,heron09,2,0.044444,0.6178264107308048,183.394,0.0
0.5X,1000,true,R10,fastral,heron09,2,0.044444,0.6178264107308048,16.664,0.0
0.5X,1000,true,R10,wqfm_v1.3,heron09,2,0.044444,0.6177795251310515,740.8810000000001,0.9498475463670953
0.5X,1000,true,R10,wqmc_v3.0,heron09,4,0.088889,0.6168947682187275,705.1360000000001,0.9979975494089083
0.5X,1000,true,R10,TRUE,heron09,0,0.0,0.6177488333847261,0.0,0.0
0.5X,1000,true,R11,treeqmc_n0_v1.0.0,heron10,2,0.044444,0.6149547332716621,10.612,0.0
0.5X,1000,true,R11,treeqmc_n1_v1.0.0,heron10,4,0.088889,0.6144283893514236,11.598,0.0
0.5X,1000,true,R11,treeqmc_n2_v1.0.0,heron10,4,0.088889,0.6144283893514236,11.571,0.0
0.5X,1000,true,R11,astral_3_v5.7.7,heron10,2,0.044444,0.6149547332716621,175.928,0.0
0.5X,1000,true,R11,fastral,heron10,2,0.044444,0.6149547332716621,18.241,0.0
0.5X,1000,true,R11,wqfm_v1.3,heron10,1,0.022222,0.6149538338986535,687.382,0.921672374312973
0.5X,1000,true,R11,wqmc_v3.0,heron10,4,0.088889,0.6137629561105972,634.9899999999999,0.9977180743003827
0.5X,1000,true,R11,TRUE,heron10,0,0.0,0.6144181364991264,0.0,0.0
0.5X,1000,true,R12,treeqmc_n0_v1.0.0,heron11,3,0.06666699999999999,0.6141751618871415,10.439,0.0
