NTAX,NGEN,NBPS,BLSC,PSIZ,MISS,REPL,MTHD,SEFN,SEFNR,SEFP,SEFPR,NODE,SECS,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n1_refined,6,0.2727272727272727,6,0.2727272727272727,cbcb20,0.962,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n1_shared,7,0.3181818181818182,7,0.3181818181818182,cbcb20,0.496,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n1_shared_refined,7,0.3181818181818182,7,0.3181818181818182,cbcb20,0.496,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n2,6,0.2727272727272727,5,0.23809523809523808,cbcb20,0.965,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n2_refined,6,0.2727272727272727,6,0.2727272727272727,cbcb20,0.965,13913.0,0.8590084999999998,0.9612065000000001,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n2_shared,5,0.22727272727272727,4,0.19047619047619047,cbcb20,0.941,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wf_n2_shared_refined,5,0.22727272727272727,5,0.22727272727272727,cbcb20,0.941,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wn_n2,6,0.2727272727272727,5,0.23809523809523808,cbcb20,1.033,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,3,wtreeqmc_wn_n2_refined,6,0.2727272727272727,6,0.2727272727272727,cbcb20,1.033,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,4,asteroid,6,0.2727272727272727,6,0.2727272727272727,cbcb07,0.093,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,4,aster_v1.16.3.4,7,0.3181818181818182,7,0.3181818181818182,cbcb21,0.332,20113.0,0.7229637272727273,0.972572,0.5692133636363637,0.5835165
