NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,10,none,50,CA-ML,1,0.125
10,medium,shallow,10,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,10,none,50,TQMC-n2,2,0.25
10,medium,shallow,10,abayes,50,TQMC-ws_n2,2,0.25
10,medium,shallow,10,sh,50,TQMC-ws_n2,1,0.125
10,medium,shallow,10,abayes,50,TQMC-wh_n2,2,0.25
10,medium,shallow,10,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,10,abayes,50,ASTER-wh,2,0.25
10,medium,shallow,10,sh,50,ASTER-wh,1,0.125
10,medium,shallow,10,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,10,sh,50,ASTRID-ws,2,0.25
10,medium,shallow,11,none,50,CA-ML,1,0.125
10,medium,shallow,11,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,11,none,50,TQMC-n2,0,0.0
10,medium,shallow,11,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,11,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,11,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,11,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,11,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,11,sh,50,ASTER-wh,0,0.0
10,medium,shallow,11,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,11,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,12,none,50,CA-ML,0,0.0
10,medium,shallow,12,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,12,none,50,TQMC-n2,0,0.0
10,medium,shallow,12,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,12,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,12,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,12,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,12,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,12,sh,50,ASTER-wh,0,0.0
