"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","SEFN","SEFNR","QSCR","AVG_LPP","MED_LPP","AVG_QQS","MED_QQS"
10,"medium","shallow",10,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",10,"abayes",50,"TQMC-n2",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",10,"abayes",50,"TQMC-wh_n2",2,0.25,12336.46202,0.8631865,1.0,0.747393125,0.8554415
10,"medium","shallow",10,"abayes",50,"ASTER-wh",2,0.25,12336.46202,0.8631865,1.0,0.747393125,0.8554415
10,"medium","shallow",11,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",11,"abayes",50,"ASTEROID",3,0.375,"NA","NA","NA","NA","NA"
10,"medium","shallow",11,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",11,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",11,"abayes",50,"TQMC-wh_n2",0,0.0,9607.689619,0.883031875,1.0,0.77119325,0.8880585
10,"medium","shallow",11,"abayes",50,"ASTER-wh",0,0.0,9607.689619,0.883031875,1.0,0.77119325,0.8880585
10,"medium","shallow",12,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",12,"abayes",50,"ASTEROID",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",12,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",12,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",12,"abayes",50,"TQMC-wh_n2",0,0.0,9340.669388,0.999999875,1.0,0.8948245,0.9381984999999999
10,"medium","shallow",12,"abayes",50,"ASTER-wh",0,0.0,9340.669388,0.999999875,1.0,0.8948245,0.9381984999999999
10,"medium","shallow",13,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",13,"abayes",50,"ASTEROID",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",13,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",13,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",13,"abayes",50,"TQMC-wh_n2",0,0.0,4276.892208,0.994962375,1.0,0.804308375,0.903016
10,"medium","shallow",13,"abayes",50,"ASTER-wh",0,0.0,4276.892208,0.994962375,1.0,0.804308375,0.903016
10,"medium","shallow",14,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",14,"abayes",50,"ASTEROID",3,0.375,"NA","NA","NA","NA","NA"
10,"medium","shallow",14,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",14,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",14,"abayes",50,"TQMC-wh_n2",0,0.0,6230.041805,0.997887125,1.0,0.81783775,0.8789245
