"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
10,"medium","shallow",16,"sh",1000,"TQMC-wh_n2","cbcb09",23,2.875,0.323
10,"medium","shallow",16,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,2.875,0.48
10,"medium","shallow",16,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,2.875,0.13
10,"medium","shallow",17,"sh",1000,"ASTRID-ws","cbcb16",23,2.875,0.058
10,"medium","shallow",17,"sh",1000,"TQMC-wh_n2","cbcb16",23,2.875,0.359
10,"medium","shallow",17,"sh",1000,"ASTER-wh (1 thread)","cbcb16",23,2.875,0.486
10,"medium","shallow",17,"sh",1000,"ASTER-wh (16 threads)","cbcb16",23,2.875,0.092
10,"medium","shallow",18,"sh",1000,"ASTRID-ws","cbcb17",23,2.875,0.066
10,"medium","shallow",18,"sh",1000,"TQMC-wh_n2","cbcb17",23,2.875,0.316
10,"medium","shallow",18,"sh",1000,"ASTER-wh (1 thread)","cbcb17",23,2.875,0.464
10,"medium","shallow",18,"sh",1000,"ASTER-wh (16 threads)","cbcb17",23,2.875,0.177
10,"medium","shallow",19,"sh",1000,"ASTRID-ws","cbcb07",23,2.875,0.057
10,"medium","shallow",19,"sh",1000,"TQMC-wh_n2","cbcb07",23,2.875,0.328
10,"medium","shallow",19,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,2.875,0.689
10,"medium","shallow",19,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,2.875,0.137
10,"medium","shallow",20,"sh",1000,"ASTRID-ws","cbcb03",23,2.875,0.057
10,"medium","shallow",20,"sh",1000,"TQMC-wh_n2","cbcb03",23,2.875,0.321
10,"medium","shallow",20,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,2.875,1.19
10,"medium","shallow",20,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,2.875,0.098
10,"medium","shallow",21,"sh",1000,"ASTRID-ws","cbcb08",23,2.875,0.036
10,"medium","shallow",21,"sh",1000,"TQMC-wh_n2","cbcb08",23,2.875,0.323
10,"medium","shallow",21,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,2.875,0.502
10,"medium","shallow",21,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,2.875,0.157
10,"medium","shallow",22,"sh",1000,"ASTRID-ws","cbcb06",23,2.875,0.049
10,"medium","shallow",22,"sh",1000,"TQMC-wh_n2","cbcb06",23,2.875,0.3
10,"medium","shallow",22,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,2.875,0.505
10,"medium","shallow",22,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,2.875,0.093
10,"medium","shallow",23,"sh",1000,"ASTRID-ws","cbcb18",23,2.875,0.053
10,"medium","shallow",23,"sh",1000,"TQMC-wh_n2","cbcb18",23,2.875,0.35
10,"medium","shallow",23,"sh",1000,"ASTER-wh (1 thread)","cbcb18",23,2.875,0.938
10,"medium","shallow",23,"sh",1000,"ASTER-wh (16 threads)","cbcb18",23,2.875,0.194
10,"medium","shallow",24,"sh",1000,"ASTRID-ws","cbcb19",23,2.875,0.043
10,"medium","shallow",24,"sh",1000,"TQMC-wh_n2","cbcb19",23,2.875,0.331
10,"medium","shallow",24,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,2.875,0.836
10,"medium","shallow",24,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,2.875,0.102
10,"medium","shallow",25,"sh",1000,"ASTRID-ws","cbcb05",23,2.875,0.04
10,"medium","shallow",25,"sh",1000,"TQMC-wh_n2","cbcb05",23,2.875,0.334
10,"medium","shallow",25,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,2.875,0.719
10,"medium","shallow",25,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,2.875,0.137
10,"medium","shallow",26,"sh",1000,"ASTRID-ws","cbcb20",23,2.875,0.052
10,"medium","shallow",26,"sh",1000,"TQMC-wh_n2","cbcb20",23,2.875,0.352
10,"medium","shallow",26,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,2.875,0.479
10,"medium","shallow",26,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,2.875,0.11
10,"medium","shallow",27,"sh",1000,"ASTRID-ws","cbcb21",23,2.875,0.047
