"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","SEFN","SEFNR","QSCR","AVG_LPP","MED_LPP","AVG_QQS","MED_QQS"
200,"low","deep",9,"abayes",50,"TQMC-wh_n2",5,0.025252525252525252,752033576.6,0.9656095505050506,1.0,0.8276327474747475,0.8954415
200,"low","deep",9,"abayes",50,"ASTER-wh",6,0.030303030303030304,752053636.0,0.9721943585858586,1.0,0.8287327424242426,0.896037
200,"low","deep",10,"sh",50,"CA-ML",14,0.0707070707070707,"NA","NA","NA","NA","NA"
200,"low","deep",10,"abayes",50,"ASTEROID",197,0.9949494949494949,"NA","NA","NA","NA","NA"
200,"low","deep",10,"abayes",50,"ASTRID-ws",32,0.16161616161616163,"NA","NA","NA","NA","NA"
200,"low","deep",10,"abayes",50,"TQMC-n2",28,0.1414141414141414,"NA","NA","NA","NA","NA"
200,"low","deep",10,"abayes",50,"TQMC-wh_n2",18,0.09090909090909091,154715937.8,0.9545919444444445,1.0,0.8247654999999999,0.9169655
200,"low","deep",10,"abayes",50,"ASTER-wh",21,0.10606060606060606,154784207.9,0.9636633838383837,1.0,0.8249537373737375,0.9106995
200,"low","deep",11,"sh",50,"CA-ML",8,0.04040404040404041,"NA","NA","NA","NA","NA"
200,"low","deep",11,"abayes",50,"ASTEROID",198,1.0,"NA","NA","NA","NA","NA"
200,"low","deep",11,"abayes",50,"ASTRID-ws",9,0.045454545454545456,"NA","NA","NA","NA","NA"
200,"low","deep",11,"abayes",50,"TQMC-n2",6,0.030303030303030304,"NA","NA","NA","NA","NA"
200,"low","deep",11,"abayes",50,"TQMC-wh_n2",9,0.045454545454545456,1186974704.0,0.9684068131313132,1.0,0.8368522373737374,0.922346
200,"low","deep",11,"abayes",50,"ASTER-wh",11,0.05555555555555555,1186979129.0,0.9692555909090909,1.0,0.8361753333333333,0.922346
200,"low","deep",12,"sh",50,"CA-ML",9,0.045454545454545456,"NA","NA","NA","NA","NA"
200,"low","deep",12,"abayes",50,"ASTEROID",198,1.0,"NA","NA","NA","NA","NA"
200,"low","deep",12,"abayes",50,"ASTRID-ws",26,0.13131313131313133,"NA","NA","NA","NA","NA"
200,"low","deep",12,"abayes",50,"TQMC-n2",22,0.1111111111111111,"NA","NA","NA","NA","NA"
200,"low","deep",12,"abayes",50,"TQMC-wh_n2",19,0.09595959595959595,12896753.07,0.9415824444444444,1.0,0.8276151868686868,0.9318795
200,"low","deep",12,"abayes",50,"ASTER-wh",22,0.1111111111111111,12976669.16,0.9559329141414142,1.0,0.8305689646464646,0.9277
200,"low","deep",13,"sh",50,"CA-ML",10,0.050505050505050504,"NA","NA","NA","NA","NA"
200,"low","deep",13,"abayes",50,"ASTEROID",198,1.0,"NA","NA","NA","NA","NA"
200,"low","deep",13,"abayes",50,"ASTRID-ws",10,0.050505050505050504,"NA","NA","NA","NA","NA"
