"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
200,"low","deep",14,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.11616161616161616,160.452
200,"low","deep",14,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.11616161616161616,464.895
200,"low","deep",14,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.11616161616161616,34.602
200,"low","deep",15,"sh",1000,"ASTRID-ws","cbcb03",23,0.11616161616161616,0.27
200,"low","deep",15,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.11616161616161616,164.539
200,"low","deep",15,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.11616161616161616,597.183
200,"low","deep",15,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.11616161616161616,25.096
200,"low","deep",16,"sh",1000,"ASTRID-ws","cbcb19",23,0.11616161616161616,0.28
200,"low","deep",16,"sh",1000,"TQMC-wh_n2","cbcb19",23,0.11616161616161616,173.678
200,"low","deep",16,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,0.11616161616161616,929.673
200,"low","deep",16,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,0.11616161616161616,26.03
200,"low","deep",17,"sh",1000,"ASTRID-ws","cbcb21",23,0.11616161616161616,0.266
200,"low","deep",17,"sh",1000,"TQMC-wh_n2","cbcb21",23,0.11616161616161616,162.31799999999998
200,"low","deep",17,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,0.11616161616161616,434.898
200,"low","deep",17,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,0.11616161616161616,23.042
200,"low","deep",18,"sh",1000,"ASTRID-ws","cbcb08",23,0.11616161616161616,0.269
200,"low","deep",18,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.11616161616161616,165.582
200,"low","deep",18,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.11616161616161616,453.916
200,"low","deep",18,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.11616161616161616,40.836
200,"low","deep",19,"sh",1000,"ASTRID-ws","cbcb06",23,0.11616161616161616,0.275
200,"low","deep",19,"sh",1000,"TQMC-wh_n2","cbcb06",23,0.11616161616161616,160.992
200,"low","deep",19,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,0.11616161616161616,438.483
200,"low","deep",19,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,0.11616161616161616,31.707
200,"low","deep",20,"sh",1000,"ASTRID-ws","cbcb14",23,0.11616161616161616,0.29
200,"low","deep",20,"sh",1000,"TQMC-wh_n2","cbcb14",23,0.11616161616161616,162.232
200,"low","deep",20,"sh",1000,"ASTER-wh (1 thread)","cbcb14",23,0.11616161616161616,628.618
200,"low","deep",20,"sh",1000,"ASTER-wh (16 threads)","cbcb14",23,0.11616161616161616,43.915
200,"low","deep",21,"sh",1000,"ASTRID-ws","cbcb20",23,0.11616161616161616,0.264
200,"low","deep",21,"sh",1000,"TQMC-wh_n2","cbcb20",23,0.11616161616161616,158.451
200,"low","deep",21,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,0.11616161616161616,912.65
200,"low","deep",21,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,0.11616161616161616,35.315
200,"low","deep",22,"sh",1000,"ASTRID-ws","cbcb05",23,0.11616161616161616,0.262
200,"low","deep",22,"sh",1000,"TQMC-wh_n2","cbcb05",23,0.11616161616161616,154.64600000000002
200,"low","deep",22,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,0.11616161616161616,582.169
200,"low","deep",22,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,0.11616161616161616,23.688
200,"low","deep",23,"sh",1000,"ASTRID-ws","cbcb04",23,0.11616161616161616,0.267
200,"low","deep",23,"sh",1000,"TQMC-wh_n2","cbcb04",23,0.11616161616161616,161.32
200,"low","deep",23,"sh",1000,"ASTER-wh (1 thread)","cbcb04",23,0.11616161616161616,718.756
200,"low","deep",23,"sh",1000,"ASTER-wh (16 threads)","cbcb04",23,0.11616161616161616,24.223
200,"low","deep",24,"sh",1000,"ASTRID-ws","cbcb13",23,0.11616161616161616,0.293
200,"low","deep",24,"sh",1000,"TQMC-wh_n2","cbcb13",23,0.11616161616161616,198.61599999999999
200,"low","deep",24,"sh",1000,"ASTER-wh (1 thread)","cbcb13",23,0.11616161616161616,910.037
200,"low","deep",24,"sh",1000,"ASTER-wh (16 threads)","cbcb13",23,0.11616161616161616,52.003
200,"low","deep",25,"sh",1000,"ASTRID-ws","cbcb07",23,0.11616161616161616,0.291
200,"low","deep",25,"sh",1000,"TQMC-wh_n2","cbcb07",23,0.11616161616161616,162.18
200,"low","deep",25,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,0.11616161616161616,626.867
