NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,9,sh,50,TQMC-ws_n2,6,0.030303030303030304
200,low,deep,9,abayes,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,9,sh,50,TQMC-wh_n2,8,0.04040404040404041
200,low,deep,9,abayes,50,ASTER-wh,6,0.030303030303030304
200,low,deep,9,sh,50,ASTER-wh,10,0.050505050505050504
200,low,deep,9,abayes,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,9,sh,50,ASTRID-ws,11,0.05555555555555555
200,low,deep,10,none,50,CA-ML,14,0.0707070707070707
200,low,deep,10,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,10,none,50,TQMC-n2,28,0.1414141414141414
200,low,deep,10,abayes,50,TQMC-ws_n2,26,0.13131313131313133
200,low,deep,10,sh,50,TQMC-ws_n2,28,0.1414141414141414
200,low,deep,10,abayes,50,TQMC-wh_n2,18,0.09090909090909091
200,low,deep,10,sh,50,TQMC-wh_n2,18,0.09090909090909091
200,low,deep,10,abayes,50,ASTER-wh,21,0.10606060606060606
200,low,deep,10,sh,50,ASTER-wh,24,0.12121212121212122
200,low,deep,10,abayes,50,ASTRID-ws,32,0.16161616161616163
200,low,deep,10,sh,50,ASTRID-ws,35,0.17676767676767677
200,low,deep,11,none,50,CA-ML,8,0.04040404040404041
200,low,deep,11,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,11,none,50,TQMC-n2,6,0.030303030303030304
200,low,deep,11,abayes,50,TQMC-ws_n2,10,0.050505050505050504
200,low,deep,11,sh,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,11,abayes,50,TQMC-wh_n2,9,0.045454545454545456
200,low,deep,11,sh,50,TQMC-wh_n2,7,0.03535353535353535
200,low,deep,11,abayes,50,ASTER-wh,11,0.05555555555555555
200,low,deep,11,sh,50,ASTER-wh,9,0.045454545454545456
200,low,deep,11,abayes,50,ASTRID-ws,9,0.045454545454545456
200,low,deep,11,sh,50,ASTRID-ws,8,0.04040404040404041
200,low,deep,12,none,50,CA-ML,9,0.045454545454545456
200,low,deep,12,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,12,none,50,TQMC-n2,22,0.1111111111111111
200,low,deep,12,abayes,50,TQMC-ws_n2,23,0.11616161616161616
200,low,deep,12,sh,50,TQMC-ws_n2,24,0.12121212121212122
200,low,deep,12,abayes,50,TQMC-wh_n2,19,0.09595959595959595
