SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
noscale,200g,500b,R7,treeqmc_n2_v1.0.0,heron06,1,0.029412,0.8584295556060262,1.031,0.0
noscale,200g,500b,R7,astral_3_v5.7.7,heron06,2,0.058824,0.8584451510333864,2.527,0.0
noscale,200g,500b,R7,fastral,heron06,2,0.058824,0.8584451510333864,5.302,0.0
noscale,200g,500b,R7,wqfm_v1.3,heron06,1,0.029412,0.8584295556060262,59.772,0.7926621160409556
noscale,200g,500b,R7,wqmc_v3.0,heron06,2,0.058824,0.8584451510333864,47.989999999999995,0.9872681808710149
noscale,200g,500b,R7,TRUE,heron06,0,0.0,0.8584033613445378,0.0,0.0
noscale,200g,500b,R8,treeqmc_n0_v1.0.0,heron07,0,0.0,0.8482379438261791,1.011,0.0
noscale,200g,500b,R8,treeqmc_n1_v1.0.0,heron07,0,0.0,0.8482379438261791,1.041,0.0
noscale,200g,500b,R8,treeqmc_n2_v1.0.0,heron07,1,0.029412,0.8482141721553487,1.039,0.0
noscale,200g,500b,R8,astral_3_v5.7.7,heron07,0,0.0,0.8482379438261791,2.863,0.0
noscale,200g,500b,R8,fastral,heron07,0,0.0,0.8482379438261791,5.305,0.0
noscale,200g,500b,R8,wqfm_v1.3,heron07,1,0.029412,0.8482141721553487,63.208,0.7987754714593089
noscale,200g,500b,R8,wqmc_v3.0,heron07,0,0.0,0.8482379438261791,51.410999999999994,0.9820660948046138
noscale,200g,500b,R8,TRUE,heron07,0,0.0,0.8482379438261791,0.0,0.0
noscale,200g,500b,R9,treeqmc_n0_v1.0.0,heron08,2,0.058824,0.8512087970323264,1.012,0.0
noscale,200g,500b,R9,treeqmc_n1_v1.0.0,heron08,2,0.058824,0.8512087970323264,1.044,0.0
noscale,200g,500b,R9,treeqmc_n2_v1.0.0,heron08,1,0.029412,0.8511211295328942,1.037,0.0
noscale,200g,500b,R9,astral_3_v5.7.7,heron08,2,0.058824,0.8512087970323264,2.64,0.0
noscale,200g,500b,R9,fastral,heron08,2,0.058824,0.8512087970323264,5.346,0.0
noscale,200g,500b,R9,wqfm_v1.3,heron08,1,0.029412,0.8511211295328942,59.347,0.7885992552277284
noscale,200g,500b,R9,wqmc_v3.0,heron08,2,0.058824,0.8512087970323264,47.406,0.9872379023752268
noscale,200g,500b,R9,TRUE,heron08,0,0.0,0.8511045499280794,0.0,0.0
noscale,200g,500b,R10,treeqmc_n0_v1.0.0,heron09,1,0.029412,0.855721099250511,1.007,0.0
noscale,200g,500b,R10,treeqmc_n1_v1.0.0,heron09,1,0.029412,0.855721099250511,1.046,0.0
noscale,200g,500b,R10,treeqmc_n2_v1.0.0,heron09,1,0.029412,0.855721099250511,1.041,0.0
noscale,200g,500b,R10,astral_3_v5.7.7,heron09,1,0.029412,0.855721099250511,2.797,0.0
noscale,200g,500b,R10,fastral,heron09,1,0.029412,0.855721099250511,5.243,0.0
noscale,200g,500b,R10,wqfm_v1.3,heron09,1,0.029412,0.855721099250511,59.20100000000001,0.8524349250857248
noscale,200g,500b,R10,wqmc_v3.0,heron09,1,0.029412,0.855721099250511,51.06,0.9883470426948688
noscale,200g,500b,R10,TRUE,heron09,0,0.0,0.8552268150503445,0.0,0.0
noscale,200g,500b,R11,treeqmc_n0_v1.0.0,heron10,0,0.0,0.8540616246498599,0.994,0.0
noscale,200g,500b,R11,treeqmc_n1_v1.0.0,heron10,0,0.0,0.8540616246498599,1.03,0.0
noscale,200g,500b,R11,treeqmc_n2_v1.0.0,heron10,0,0.0,0.8540616246498599,1.026,0.0
noscale,200g,500b,R11,astral_3_v5.7.7,heron10,0,0.0,0.8540616246498599,2.678,0.0
noscale,200g,500b,R11,fastral,heron10,0,0.0,0.8540616246498599,5.316,0.0
noscale,200g,500b,R11,wqfm_v1.3,heron10,0,0.0,0.8540616246498599,62.306,0.7908548133406093
noscale,200g,500b,R11,wqmc_v3.0,heron10,0,0.0,0.8540616246498599,50.065,0.9842205133326676
noscale,200g,500b,R11,TRUE,heron10,0,0.0,0.8540616246498599,0.0,0.0
noscale,200g,500b,R12,treeqmc_n0_v1.0.0,heron11,1,0.029412,0.8485994397759103,1.002,0.0
noscale,200g,500b,R12,treeqmc_n1_v1.0.0,heron11,1,0.029412,0.8485994397759103,1.038,0.0
noscale,200g,500b,R12,treeqmc_n2_v1.0.0,heron11,1,0.029412,0.8485994397759103,1.033,0.0
noscale,200g,500b,R12,astral_3_v5.7.7,heron11,1,0.029412,0.8485994397759103,2.844,0.0
noscale,200g,500b,R12,fastral,heron11,1,0.029412,0.8485994397759103,5.228,0.0
noscale,200g,500b,R12,wqfm_v1.3,heron11,1,0.029412,0.8485994397759103,58.254,0.789439351804168
noscale,200g,500b,R12,wqmc_v3.0,heron11,1,0.029412,0.8485994397759103,46.958,0.9793432428979088
noscale,200g,500b,R12,TRUE,heron11,0,0.0,0.8485456885456886,0.0,0.0
noscale,200g,500b,R13,treeqmc_n0_v1.0.0,heron10,2,0.058824,0.850065485653721,1.0,0.0
noscale,200g,500b,R13,treeqmc_n1_v1.0.0,heron10,2,0.058824,0.850065485653721,1.037,0.0
noscale,200g,500b,R13,treeqmc_n2_v1.0.0,heron10,3,0.08823500000000001,0.8500415625709743,1.036,0.0
noscale,200g,500b,R13,astral_3_v5.7.7,heron10,2,0.058824,0.850065485653721,2.769,0.0
noscale,200g,500b,R13,fastral,heron10,2,0.058824,0.850065485653721,4.957,0.0
noscale,200g,500b,R13,wqfm_v1.3,heron10,3,0.08823500000000001,0.8500415625709743,59.269000000000005,0.7879329835158345
noscale,200g,500b,R13,wqmc_v3.0,heron10,2,0.058824,0.850065485653721,47.307,0.9871689179191241
noscale,200g,500b,R13,TRUE,heron10,0,0.0,0.8482809448103565,0.0,0.0
noscale,200g,500b,R14,treeqmc_n0_v1.0.0,heron04,1,0.029412,0.8524465894465895,1.002,0.0
noscale,200g,500b,R14,treeqmc_n1_v1.0.0,heron04,1,0.029412,0.8524465894465895,1.035,0.0
noscale,200g,500b,R14,treeqmc_n2_v1.0.0,heron04,0,0.0,0.8523910212733742,1.031,0.0
noscale,200g,500b,R14,astral_3_v5.7.7,heron04,1,0.029412,0.8524465894465895,2.857,0.0
noscale,200g,500b,R14,fastral,heron04,1,0.029412,0.8524465894465895,4.966,0.0
noscale,200g,500b,R14,wqfm_v1.3,heron04,0,0.0,0.8523910212733742,62.78,0.8044600191143676
noscale,200g,500b,R14,wqmc_v3.0,heron04,1,0.029412,0.8524465894465895,51.094,0.9884526558891454
noscale,200g,500b,R14,TRUE,heron04,0,0.0,0.8523910212733742,0.0,0.0
noscale,200g,500b,R15,treeqmc_n0_v1.0.0,heron02,4,0.117647,0.8557919600272541,1.009,0.0
noscale,200g,500b,R15,treeqmc_n1_v1.0.0,heron02,4,0.117647,0.8557919600272541,1.041,0.0
noscale,200g,500b,R15,treeqmc_n2_v1.0.0,heron02,3,0.08823500000000001,0.8555108638049814,1.038,0.0
noscale,200g,500b,R15,astral_3_v5.7.7,heron02,4,0.117647,0.8557919600272541,2.727,0.0
noscale,200g,500b,R15,fastral,heron02,4,0.117647,0.8557919600272541,5.106,0.0
noscale,200g,500b,R15,wqfm_v1.3,heron02,3,0.08823500000000001,0.8555108638049814,59.277,0.7987583717124686
