SCAL,NGEN,NBPS,REPL,GENE,NL,I1,I2,FN,FP,RF
noscale,200g,1000b,R10,90,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,91,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,92,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,93,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,94,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,95,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,96,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,97,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,98,37,34,34,18,18,0.529412
noscale,200g,1000b,R10,99,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,100,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,101,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,102,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,103,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,104,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,105,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,106,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,107,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,108,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,109,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,110,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,111,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,112,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,113,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,114,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,115,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,116,37,34,34,7,7,0.205882
noscale,200g,1000b,R10,117,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,118,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,119,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,120,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,121,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,122,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,123,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,124,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,125,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,126,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,127,37,34,34,17,17,0.500000
noscale,200g,1000b,R10,128,37,34,34,17,17,0.500000
noscale,200g,1000b,R10,129,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,130,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,131,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,132,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,133,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,134,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,135,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,136,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,137,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,138,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,139,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,140,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,141,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,142,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,143,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,144,37,34,34,17,17,0.500000
noscale,200g,1000b,R10,145,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,146,37,34,34,14,14,0.411765
